Date,Open,High,Low,Close,Volume,Currency
2000-01-04,5.29,5.29,5.29,5.335,3,USD
2000-01-05,5.17,5.17,5.17,5.17,0,USD
2000-01-06,5.127,5.127,5.127,5.127,0,USD
2000-01-07,5.15,5.15,5.15,5.15,50,USD
2000-01-10,5.145,5.145,5.145,5.145,62,USD
2000-01-11,5.195,5.195,5.195,5.15,1,USD
2000-01-12,5.1,5.1,5.1,5.1,100,USD
2000-01-13,5.11,5.11,5.11,5.115,30,USD
2000-01-14,5.112,5.112,5.112,5.112,0,USD
2000-01-18,5.127,5.127,5.127,5.127,1,USD
2000-01-19,5.135,5.135,5.135,5.135,16,USD
2000-01-20,5.2,5.2,5.2,5.219,18,USD
2000-01-21,5.222,5.222,5.222,5.222,1,USD
2000-01-24,5.255,5.255,5.255,5.255,0,USD
2000-01-25,5.277,5.277,5.277,5.277,0,USD
2000-01-26,5.25,5.25,5.25,5.25,0,USD
2000-01-27,5.382,5.382,5.382,5.382,0,USD
2000-01-28,5.307,5.307,5.307,5.307,0,USD
2000-01-31,5.287,5.287,5.287,5.287,200,USD
2000-02-01,5.26,5.26,5.26,5.223,13,USD
2000-02-02,5.21,5.21,5.21,5.212,28,USD
2000-02-03,5.23,5.23,5.23,5.26,1,USD
2000-02-04,5.3,5.42,5.3,5.547,104,USD
2000-02-07,5.26,5.26,5.26,5.26,101,USD
2000-02-08,5.318,5.318,5.318,5.318,0,USD
2000-02-09,5.408,5.408,5.408,5.408,0,USD
2000-02-10,5.405,5.405,5.405,5.405,27,USD
2000-02-11,5.34,5.34,5.34,5.332,0,USD
2000-02-14,5.255,5.255,5.255,5.255,0,USD
2000-02-15,5.245,5.245,5.245,5.245,100,USD
2000-02-16,5.292,5.292,5.292,5.292,0,USD
2000-02-17,5.255,5.255,5.255,5.255,0,USD
2000-02-18,5.23,5.23,5.23,5.273,8,USD
2000-02-22,5.283,5.283,5.283,5.283,0,USD
2000-02-23,5.26,5.26,5.26,5.256,10,USD
2000-02-24,5.166,5.166,5.166,5.166,0,USD
2000-02-25,5.036,5.036,5.036,5.036,0,USD
2000-02-28,5.045,5.095,5.02,5.048,14203,USD
2000-02-29,5.065,5.09,5.035,5.048,2830,USD
2000-03-01,5.07,5.13,5.05,5.073,511,USD
2000-03-02,5.105,5.105,5.0,5.008,645,USD
2000-03-03,5.02,5.11,5.0,5.099,307,USD
2000-03-06,5.09,5.09,5.05,5.053,140,USD
2000-03-07,5.09,5.095,5.085,5.069,266,USD
2000-03-08,5.08,5.09,5.05,5.077,244,USD
2000-03-09,5.055,5.115,5.055,5.097,189,USD
2000-03-10,5.14,5.14,5.06,5.064,55,USD
2000-03-13,5.095,5.095,5.08,5.064,13,USD
2000-03-14,5.105,5.12,5.1,5.092,72,USD
2000-03-15,5.12,5.145,5.11,5.127,37,USD
2000-03-16,5.1,5.11,5.075,5.087,16,USD
2000-03-17,5.08,5.12,5.08,5.092,141,USD
2000-03-20,5.075,5.075,5.05,5.03,30,USD
2000-03-21,5.045,5.18,5.045,5.121,54,USD
2000-03-22,5.11,5.15,5.11,5.13,72,USD
2000-03-23,5.08,5.11,5.08,5.09,28,USD
2000-03-24,5.11,5.135,5.11,5.119,80,USD
2000-03-27,5.115,5.115,5.1,5.093,30,USD
2000-03-28,5.1,5.11,5.095,5.076,12,USD
2000-03-29,5.0,5.0,4.97,4.956,34,USD
2000-03-30,4.963,4.963,4.963,4.963,0,USD
2000-03-31,5.02,5.02,5.02,5.02,0,USD
2000-04-03,5.032,5.032,5.032,5.032,0,USD
2000-04-04,5.05,5.05,5.05,5.14,3,USD
2000-04-05,5.114,5.114,5.114,5.114,0,USD
2000-04-06,5.112,5.112,5.112,5.112,46,USD
2000-04-07,5.104,5.104,5.104,5.104,25,USD
2000-04-10,5.15,5.15,5.15,5.15,100,USD
2000-04-11,5.128,5.128,5.128,5.128,0,USD
2000-04-12,5.133,5.133,5.133,5.133,0,USD
2000-04-13,5.16,5.16,5.16,5.16,0,USD
2000-04-14,5.162,5.162,5.162,5.162,0,USD
2000-04-17,5.13,5.13,5.13,5.13,0,USD
2000-04-18,5.127,5.127,5.127,5.127,0,USD
2000-04-19,5.122,5.122,5.122,5.122,0,USD
2000-04-20,4.989,4.989,4.989,4.989,0,USD
2000-04-24,4.944,4.944,4.944,4.944,0,USD
2000-04-25,5.008,5.008,5.008,5.008,0,USD
2000-04-26,4.942,4.942,4.942,4.942,0,USD
2000-04-27,4.96,4.985,4.925,4.958,14836,USD
2000-04-28,4.955,4.98,4.925,4.96,2313,USD
2000-05-01,4.94,5.05,4.94,5.025,746,USD
2000-05-02,5.08,5.08,5.01,5.025,170,USD
2000-05-03,5.005,5.05,4.99,5.025,426,USD
2000-05-04,5.055,5.135,5.02,5.123,332,USD
2000-05-05,5.09,5.09,4.995,5.006,127,USD
2000-05-08,5.015,5.06,5.015,5.02,39,USD
2000-05-09,5.02,5.085,5.0,5.04,192,USD
2000-05-10,5.07,5.07,5.035,5.037,50,USD
2000-05-11,5.0,5.025,5.0,5.021,181,USD
2000-05-12,5.05,5.05,4.99,5.019,16,USD
2000-05-15,5.0,5.04,4.985,5.023,132,USD
2000-05-16,5.07,5.12,5.07,5.108,70,USD
2000-05-17,5.06,5.085,5.04,5.003,12,USD
2000-05-18,5.0,5.02,5.0,5.02,14,USD
2000-05-19,5.005,5.005,4.98,4.995,13,USD
2000-05-22,5.04,5.04,5.04,5.015,40,USD
2000-05-23,5.005,5.005,5.005,5.016,6,USD
2000-05-24,5.005,5.005,4.965,4.992,41,USD
2000-05-25,4.97,4.97,4.9,4.92,8,USD
2000-05-26,4.9,4.935,4.9,4.937,9,USD
2000-05-30,4.924,4.924,4.924,4.924,0,USD
2000-05-31,4.941,4.941,4.941,4.941,0,USD
2000-06-01,4.941,4.941,4.941,4.941,0,USD
2000-06-02,5.026,5.026,5.026,5.026,0,USD
2000-06-05,5.051,5.051,5.051,5.051,0,USD
2000-06-06,5.086,5.086,5.086,5.086,0,USD
2000-06-07,5.096,5.096,5.096,5.096,0,USD
2000-06-08,5.073,5.073,5.073,5.073,0,USD
2000-06-09,5.04,5.04,5.04,5.04,0,USD
2000-06-12,5.02,5.02,5.02,5.02,0,USD
2000-06-13,5.005,5.005,5.005,5.005,4,USD
2000-06-14,5.07,5.07,5.07,5.07,0,USD
2000-06-15,5.057,5.057,5.057,5.057,0,USD
2000-06-16,5.068,5.068,5.068,5.068,0,USD
2000-06-19,5.028,5.028,5.028,5.028,0,USD
2000-06-20,5.025,5.025,5.025,5.025,0,USD
2000-06-21,4.96,4.96,4.96,4.96,0,USD
2000-06-22,4.968,4.968,4.968,4.968,0,USD
2000-06-23,4.948,4.948,4.948,4.948,0,USD
2000-06-26,4.975,4.975,4.975,4.975,80,USD
2000-06-27,4.958,4.958,4.958,4.958,80,USD
2000-06-28,4.989,4.989,4.989,4.989,0,USD
2000-06-29,4.98,5.06,4.97,4.997,16592,USD
2000-06-30,4.99,5.05,4.99,5.033,3220,USD
2000-07-05,5.02,5.02,4.96,4.993,331,USD
2000-07-06,5.0,5.015,4.98,5.004,87,USD
2000-07-07,4.99,5.01,4.98,4.986,490,USD
2000-07-10,5.04,5.04,4.99,5.006,50,USD
2000-07-11,5.0,5.0,4.95,4.963,23,USD
2000-07-12,4.95,4.985,4.95,4.976,86,USD
2000-07-13,5.0,5.0,4.97,4.983,12,USD
2000-07-14,4.98,5.03,4.98,5.003,19,USD
2000-07-17,5.0,5.03,5.0,5.018,17,USD
2000-07-18,5.04,5.04,5.04,5.022,80,USD
2000-07-19,4.975,4.99,4.975,4.982,21,USD
2000-07-20,5.02,5.02,5.02,4.996,364,USD
2000-07-21,4.955,4.955,4.955,4.926,4,USD
2000-07-24,4.95,4.97,4.91,4.946,9,USD
2000-07-25,5.0,5.0,5.0,4.992,123,USD
2000-07-26,5.0,5.0,4.95,4.952,17,USD
2000-07-27,4.975,4.975,4.975,4.967,5,USD
2000-07-28,4.968,4.968,4.968,4.968,57,USD
2000-07-31,5.006,5.006,5.006,5.006,0,USD
2000-08-01,4.996,4.996,4.996,4.996,0,USD
2000-08-02,4.991,4.991,4.991,4.991,0,USD
2000-08-03,4.974,4.974,4.974,4.974,0,USD
2000-08-04,4.912,4.912,4.912,4.912,0,USD
2000-08-07,4.939,4.939,4.939,4.939,0,USD
2000-08-08,4.88,4.88,4.88,4.904,14,USD
2000-08-09,4.89,4.89,4.89,4.89,0,USD
2000-08-10,4.9,4.9,4.9,4.9,0,USD
2000-08-11,4.923,4.923,4.923,4.923,0,USD
2000-08-14,4.888,4.888,4.888,4.888,0,USD
2000-08-15,4.863,4.863,4.863,4.863,0,USD
2000-08-16,4.855,4.855,4.855,4.855,0,USD
2000-08-17,4.868,4.868,4.868,4.868,0,USD
2000-08-18,4.82,4.82,4.82,4.842,1,USD
2000-08-21,4.855,4.855,4.855,4.855,1,USD
2000-08-22,4.835,4.835,4.835,4.835,0,USD
2000-08-23,4.79,4.79,4.79,4.79,0,USD
2000-08-24,4.852,4.852,4.852,4.852,0,USD
2000-08-25,4.887,4.887,4.887,4.887,0,USD
2000-08-28,4.927,4.927,4.927,4.927,0,USD
2000-08-29,4.943,4.943,4.943,4.943,0,USD
2000-08-30,4.95,4.95,4.895,4.93,16796,USD
2000-08-31,4.92,5.045,4.92,5.003,2319,USD
2000-09-01,4.985,5.035,4.985,5.004,1612,USD
2000-09-05,4.99,5.005,4.975,4.998,1375,USD
2000-09-06,5.0,5.0,4.98,4.983,856,USD
2000-09-07,4.98,4.98,4.93,4.935,232,USD
2000-09-08,4.94,4.945,4.91,4.923,300,USD
2000-09-11,4.905,4.91,4.89,4.885,120,USD
2000-09-12,4.935,4.94,4.9,4.909,113,USD
2000-09-13,4.92,4.92,4.88,4.892,211,USD
2000-09-14,4.895,4.91,4.89,4.888,87,USD
2000-09-15,4.87,4.88,4.855,4.868,103,USD
2000-09-18,4.876,4.876,4.876,4.876,16,USD
2000-09-19,4.89,4.89,4.875,4.883,15,USD
2000-09-20,4.86,4.865,4.83,4.83,111,USD
2000-09-21,4.9,4.9,4.87,4.872,13,USD
2000-09-22,4.9,4.9,4.9,4.91,16,USD
2000-09-25,4.9,4.9,4.86,4.915,29,USD
2000-09-26,4.93,4.93,4.93,4.931,219,USD
2000-09-27,4.91,4.93,4.91,4.968,0,USD
2000-09-28,4.953,4.953,4.953,4.953,0,USD
2000-09-29,4.87,4.87,4.87,4.899,1,USD
2000-10-02,4.906,4.906,4.906,4.906,0,USD
2000-10-03,4.913,4.913,4.913,4.913,0,USD
2000-10-04,4.84,4.84,4.84,4.874,4,USD
2000-10-05,4.889,4.889,4.889,4.889,1,USD
2000-10-06,4.883,4.883,4.883,4.883,0,USD
2000-10-09,4.885,4.885,4.885,4.885,0,USD
2000-10-10,4.918,4.918,4.918,4.918,0,USD
2000-10-11,4.87,4.87,4.87,4.87,0,USD
2000-10-12,4.923,4.923,4.923,4.923,0,USD
2000-10-13,4.883,4.883,4.883,4.883,0,USD
2000-10-16,4.881,4.881,4.881,4.881,0,USD
2000-10-17,4.843,4.843,4.843,4.843,0,USD
2000-10-18,4.853,4.853,4.853,4.853,0,USD
2000-10-19,4.828,4.828,4.828,4.828,0,USD
2000-10-20,4.828,4.828,4.828,4.828,0,USD
2000-10-23,4.786,4.786,4.786,4.786,0,USD
2000-10-24,4.775,4.775,4.775,4.799,6,USD
2000-10-25,4.764,4.764,4.764,4.764,0,USD
2000-10-26,4.731,4.731,4.731,4.731,0,USD
2000-10-27,4.746,4.746,4.746,4.746,0,USD
2000-10-30,4.77,4.77,4.77,4.748,1,USD
2000-10-31,4.754,4.754,4.754,4.754,0,USD
2000-11-01,4.774,4.774,4.774,4.774,1,USD
2000-11-02,4.711,4.711,4.711,4.711,0,USD
2000-11-03,4.741,4.741,4.741,4.741,4,USD
2000-11-06,4.761,4.761,4.761,4.761,0,USD
2000-11-07,4.721,4.721,4.721,4.721,0,USD
2000-11-08,4.739,4.739,4.739,4.739,0,USD
2000-11-09,4.749,4.749,4.749,4.749,0,USD
2000-11-10,4.707,4.707,4.707,4.707,0,USD
2000-11-13,4.7,4.7,4.7,4.672,1,USD
2000-11-14,4.679,4.679,4.679,4.679,0,USD
2000-11-15,4.672,4.672,4.672,4.672,20,USD
2000-11-16,4.68,4.68,4.68,4.66,0,USD
2000-11-17,4.645,4.645,4.645,4.645,0,USD
2000-11-20,4.642,4.642,4.642,4.642,0,USD
2000-11-21,4.627,4.627,4.627,4.627,0,USD
2000-11-22,4.625,4.625,4.625,4.625,0,USD
2000-11-27,4.695,4.695,4.695,4.695,0,USD
2000-11-28,4.698,4.698,4.698,4.698,0,USD
2000-11-29,4.695,4.71,4.6,4.615,23582,USD
2000-11-30,4.605,4.675,4.6,4.674,4660,USD
2000-12-01,4.675,4.685,4.65,4.64,325,USD
2000-12-04,4.65,4.745,4.65,4.714,208,USD
2000-12-05,4.7,4.72,4.675,4.704,129,USD
2000-12-06,4.695,4.76,4.695,4.754,409,USD
2000-12-07,4.765,4.765,4.705,4.724,141,USD
2000-12-08,4.7,4.7,4.7,4.648,14,USD
2000-12-11,4.655,4.665,4.655,4.656,49,USD
2000-12-12,4.675,4.675,4.675,4.66,229,USD
2000-12-13,4.635,4.635,4.62,4.623,8,USD
2000-12-14,4.625,4.625,4.605,4.598,6,USD
2000-12-15,4.55,4.575,4.55,4.563,17,USD
2000-12-18,4.58,4.58,4.58,4.575,697,USD
2000-12-19,4.595,4.595,4.595,4.585,202,USD
2000-12-20,4.61,4.65,4.6,4.596,127,USD
2000-12-21,4.599,4.599,4.599,4.599,258,USD
2000-12-22,4.6,4.605,4.6,4.611,4,USD
2000-12-26,4.623,4.623,4.623,4.623,2,USD
2000-12-27,4.583,4.583,4.583,4.583,2,USD
2000-12-28,4.56,4.56,4.56,4.587,45,USD
2000-12-29,4.585,4.585,4.585,4.585,0,USD
2001-01-02,4.545,4.545,4.545,4.545,0,USD
2001-01-03,4.5,4.5,4.5,4.49,40,USD
2001-01-04,4.532,4.532,4.532,4.532,0,USD
2001-01-05,4.555,4.555,4.555,4.555,35,USD
2001-01-08,4.545,4.545,4.545,4.545,0,USD
2001-01-09,4.53,4.53,4.53,4.55,8,USD
2001-01-10,4.535,4.535,4.535,4.535,73,USD
2001-01-11,4.557,4.557,4.557,4.557,31,USD
2001-01-12,4.622,4.622,4.622,4.622,0,USD
2001-01-16,4.677,4.677,4.677,4.677,0,USD
2001-01-17,4.71,4.71,4.71,4.71,0,USD
2001-01-18,4.794,4.794,4.794,4.794,0,USD
2001-01-19,4.749,4.749,4.749,4.749,0,USD
2001-01-22,4.774,4.774,4.774,4.774,0,USD
2001-01-23,4.776,4.776,4.776,4.776,0,USD
2001-01-24,4.768,4.768,4.768,4.768,0,USD
2001-01-25,4.785,4.785,4.785,4.785,0,USD
2001-01-26,4.805,4.805,4.805,4.805,0,USD
2001-01-29,4.803,4.803,4.803,4.803,0,USD
2001-01-30,4.796,4.796,4.796,4.796,160,USD
2001-01-31,4.77,4.77,4.77,4.791,4,USD
2001-02-01,4.74,4.74,4.74,4.79,2,USD
2001-02-02,4.768,4.768,4.768,4.768,0,USD
2001-02-05,4.678,4.678,4.678,4.678,0,USD
2001-02-06,4.653,4.653,4.653,4.653,0,USD
2001-02-07,4.611,4.611,4.611,4.611,0,USD
2001-02-08,4.56,4.56,4.56,4.56,0,USD
2001-02-09,4.553,4.553,4.553,4.553,0,USD
2001-02-12,4.553,4.553,4.553,4.553,0,USD
2001-02-13,4.553,4.553,4.553,4.553,10,USD
2001-02-14,4.508,4.508,4.508,4.508,0,USD
2001-02-15,4.513,4.513,4.513,4.513,0,USD
2001-02-16,4.488,4.488,4.488,4.488,0,USD
2001-02-20,4.418,4.418,4.418,4.418,0,USD
2001-02-21,4.406,4.406,4.406,4.406,0,USD
2001-02-22,4.413,4.413,4.413,4.413,0,USD
2001-02-23,4.431,4.431,4.431,4.431,0,USD
2001-02-26,4.443,4.443,4.443,4.443,0,USD
2001-02-27,4.44,4.47,4.4,4.414,11413,USD
2001-02-28,4.42,4.54,4.39,4.472,3140,USD
2001-03-01,4.485,4.49,4.39,4.395,589,USD
2001-03-02,4.405,4.45,4.39,4.419,665,USD
2001-03-05,4.38,4.44,4.38,4.416,203,USD
2001-03-06,4.39,4.42,4.39,4.408,47,USD
2001-03-07,4.38,4.44,4.38,4.428,42,USD
2001-03-08,4.41,4.495,4.41,4.476,679,USD
2001-03-09,4.46,4.52,4.46,4.488,53,USD
2001-03-12,4.495,4.495,4.4,4.409,287,USD
2001-03-13,4.375,4.435,4.375,4.419,16,USD
2001-03-14,4.39,4.445,4.39,4.428,97,USD
2001-03-15,4.395,4.425,4.32,4.325,356,USD
2001-03-16,4.31,4.31,4.27,4.288,23,USD
2001-03-19,4.285,4.285,4.28,4.295,42,USD
2001-03-20,4.29,4.305,4.29,4.328,135,USD
2001-03-21,4.3,4.33,4.3,4.323,36,USD
2001-03-22,4.31,4.31,4.31,4.334,2,USD
2001-03-23,4.33,4.33,4.33,4.342,127,USD
2001-03-26,4.355,4.355,4.34,4.359,4,USD
2001-03-27,4.414,4.414,4.414,4.414,0,USD
2001-03-28,4.385,4.385,4.385,4.354,3,USD
2001-03-29,4.318,4.318,4.318,4.318,63,USD
2001-03-30,4.278,4.278,4.278,4.278,10,USD
2001-04-02,4.298,4.298,4.298,4.298,0,USD
2001-04-03,4.296,4.296,4.296,4.296,0,USD
2001-04-04,4.323,4.323,4.323,4.323,0,USD
2001-04-05,4.341,4.341,4.341,4.341,0,USD
2001-04-06,4.321,4.321,4.321,4.321,20,USD
2001-04-09,4.301,4.301,4.301,4.301,0,USD
2001-04-10,4.311,4.311,4.311,4.311,55,USD
2001-04-11,4.353,4.353,4.353,4.353,0,USD
2001-04-12,4.358,4.358,4.358,4.358,0,USD
2001-04-16,4.432,4.432,4.432,4.432,0,USD
2001-04-17,4.36,4.36,4.36,4.36,0,USD
2001-04-18,4.357,4.357,4.357,4.357,0,USD
2001-04-19,4.419,4.419,4.419,4.419,0,USD
2001-04-20,4.435,4.435,4.435,4.435,10,USD
2001-04-23,4.435,4.435,4.435,4.435,20,USD
2001-04-24,4.448,4.448,4.448,4.448,0,USD
2001-04-25,4.365,4.365,4.365,4.365,0,USD
2001-04-26,4.377,4.377,4.377,4.377,0,USD
2001-04-27,4.38,4.41,4.35,4.357,11195,USD
2001-04-30,4.36,4.36,4.31,4.32,996,USD
2001-05-01,4.31,4.36,4.31,4.35,420,USD
2001-05-02,4.335,4.39,4.335,4.36,90,USD
2001-05-03,4.375,4.375,4.33,4.33,59,USD
2001-05-04,4.32,4.32,4.32,4.327,20,USD
2001-05-07,4.315,4.315,4.305,4.294,31,USD
2001-05-08,4.31,4.31,4.31,4.304,5,USD
2001-05-09,4.33,4.34,4.33,4.386,161,USD
2001-05-10,4.34,4.34,4.325,4.323,23,USD
2001-05-11,4.325,4.33,4.325,4.31,21,USD
2001-05-14,4.332,4.332,4.332,4.332,5,USD
2001-05-15,4.295,4.295,4.295,4.295,0,USD
2001-05-16,4.438,4.438,4.438,4.438,0,USD
2001-05-17,4.43,4.43,4.43,4.47,18,USD
2001-05-18,4.48,4.48,4.48,4.552,2,USD
2001-05-21,4.635,4.635,4.615,4.526,17,USD
2001-05-22,4.515,4.54,4.515,4.544,7,USD
2001-05-23,4.505,4.56,4.505,4.56,34,USD
2001-05-24,4.61,4.61,4.61,4.603,3,USD
2001-05-25,4.58,4.59,4.56,4.563,17,USD
2001-05-29,4.523,4.523,4.523,4.523,1,USD
2001-05-30,4.423,4.423,4.423,4.423,40,USD
2001-05-31,4.396,4.396,4.396,4.396,0,USD
2001-06-01,4.409,4.409,4.409,4.409,0,USD
2001-06-04,4.32,4.32,4.32,4.321,8,USD
2001-06-05,4.329,4.329,4.329,4.329,0,USD
2001-06-06,4.328,4.328,4.328,4.328,0,USD
2001-06-07,4.323,4.323,4.323,4.323,0,USD
2001-06-08,4.358,4.358,4.358,4.358,0,USD
2001-06-11,4.326,4.326,4.326,4.326,0,USD
2001-06-12,4.365,4.365,4.365,4.365,100,USD
2001-06-13,4.405,4.405,4.405,4.405,0,USD
2001-06-14,4.46,4.46,4.46,4.46,0,USD
2001-06-15,4.393,4.393,4.393,4.393,0,USD
2001-06-18,4.415,4.415,4.415,4.415,0,USD
2001-06-19,4.4,4.4,4.4,4.393,2,USD
2001-06-20,4.338,4.338,4.338,4.338,0,USD
2001-06-21,4.316,4.316,4.316,4.316,9195,USD
2001-06-22,4.299,4.299,4.299,4.299,0,USD
2001-06-25,4.294,4.294,4.294,4.294,0,USD
2001-06-26,4.344,4.344,4.344,4.344,0,USD
2001-06-27,4.305,4.305,4.305,4.305,0,USD
