rank,team,year,games,wins,losses,ties,shootout_wins,shootout_losses,win_loss_percentage,goals_scored,goals_against,goal_differential
1,Colorado Avalanche,2022,20,16,4,0,5,1,0.8,85,55,30
2,Tampa Bay Lightning,2022,23,14,9,0,1,2,0.609,67,61,6
3,New York Rangers,2022,20,10,10,0,1,2,0.5,62,58,4
4,Edmonton Oilers,2022,16,8,8,0,1,2,0.5,65,59,6
5,Carolina Hurricanes,2022,14,7,7,0,1,0,0.5,37,40,-3
6,St. Louis Blues,2022,12,6,6,0,1,1,0.5,40,38,2
7,Calgary Flames,2022,12,5,7,0,1,1,0.417,35,39,-4
8,Florida Panthers,2022,10,4,6,0,2,0,0.4,23,32,-9
9,Boston Bruins,2022,7,3,4,0,0,0,0.429,20,24,-4
10,Los Angeles Kings,2022,7,3,4,0,1,0,0.429,17,27,-10
11,Toronto Maple Leafs,2022,7,3,4,0,0,1,0.429,24,23,1
12,Dallas Stars,2022,7,3,4,0,0,1,0.429,14,15,-1
13,Pittsburgh Penguins,2022,7,3,4,0,1,1,0.429,29,28,1
14,Minnesota Wild,2022,6,2,4,0,0,0,0.333,16,22,-6
15,Washington Capitals,2022,6,2,4,0,0,2,0.333,19,20,-1
16,Nashville Predators,2022,4,0,4,0,0,1,0,9,21,-12
1,Tampa Bay Lightning,2021,23,16,7,0,0,4,0.696,75,45,30
2,Montreal Canadiens,2021,22,13,9,0,6,1,0.591,51,54,-3
3,New York Islanders,2021,19,11,8,0,4,1,0.579,54,53,1
4,Vegas Golden Knights,2021,19,10,9,0,2,4,0.526,53,46,7
5,Colorado Avalanche,2021,10,6,4,0,1,1,0.6,38,27,11
6,Boston Bruins,2021,11,6,5,0,3,2,0.545,33,32,1
7,Carolina Hurricanes,2021,11,5,6,0,3,2,0.455,31,30,1
8,Winnipeg Jets,2021,8,4,4,0,3,1,0.5,20,22,-2
9,Minnesota Wild,2021,7,3,4,0,1,0,0.429,13,20,-7
10,Toronto Maple Leafs,2021,7,3,4,0,0,2,0.429,18,14,4
11,Florida Panthers,2021,6,2,4,0,1,0,0.333,17,24,-7
12,Pittsburgh Penguins,2021,6,2,4,0,0,2,0.333,16,21,-5
13,Nashville Predators,2021,6,2,4,0,2,2,0.333,16,22,-6
14,Washington Capitals,2021,5,1,4,0,1,2,0.2,10,16,-6
15,St. Louis Blues,2021,4,0,4,0,0,0,0,7,20,-13
16,Edmonton Oilers,2021,4,0,4,0,0,3,0,8,14,-6
1,Tampa Bay Lightning,2020,25,18,7,0,7,2,0.72,78,57,21
2,Dallas Stars,2020,27,15,12,0,6,1,0.556,78,82,-4
3,New York Islanders,2020,22,13,9,0,2,4,0.591,66,51,15
4,Vegas Golden Knights,2020,20,12,8,0,2,2,0.6,57,44,13
5,Philadelphia Flyers,2020,16,10,6,0,3,0,0.625,38,40,-2
6,Vancouver Canucks,2020,17,10,7,0,2,1,0.588,48,45,3
7,Colorado Avalanche,2020,15,9,6,0,0,2,0.6,60,41,19
8,Montreal Canadiens,2020,10,5,5,0,1,0,0.5,23,19,4
9,Calgary Flames,2020,10,5,5,0,0,1,0.5,33,27,6
10,Boston Bruins,2020,13,5,8,0,1,2,0.385,29,39,-10
11,Carolina Hurricanes,2020,8,4,4,0,0,1,0.5,22,19,3
12,Arizona Coyotes,2020,9,4,5,0,1,0,0.444,22,33,-11
13,Chicago Blackhawks,2020,9,4,5,0,0,1,0.444,27,30,-3
14,Columbus Blue Jackets,2020,10,4,6,0,1,3,0.4,24,24,0
15,Toronto Maple Leafs,2020,5,2,3,0,1,1,0.4,10,12,-2
16,Washington Capitals,2020,8,2,6,0,0,2,0.25,13,24,-11
17,St. Louis Blues,2020,9,2,7,0,1,2,0.222,22,32,-10
18,Nashville Predators,2020,4,1,3,0,0,1,0.25,11,14,-3
19,Winnipeg Jets,2020,4,1,3,0,0,0,0.25,6,16,-10
20,Minnesota Wild,2020,4,1,3,0,0,1,0.25,10,12,-2
21,Florida Panthers,2020,4,1,3,0,0,0,0.25,7,13,-6
22,Edmonton Oilers,2020,4,1,3,0,0,0,0.25,15,16,-1
23,Pittsburgh Penguins,2020,4,1,3,0,0,1,0.25,8,10,-2
24,New York Rangers,2020,3,0,3,0,0,0,0,4,11,-7
1,St. Louis Blues,2019,26,16,10,0,2,2,0.615,75,70,5
2,Boston Bruins,2019,24,15,9,0,1,2,0.625,79,51,28
3,San Jose Sharks,2019,20,10,10,0,3,1,0.5,58,66,-8
4,Carolina Hurricanes,2019,15,8,7,0,2,1,0.533,39,42,-3
5,Colorado Avalanche,2019,12,7,5,0,3,0,0.583,35,31,4
6,Dallas Stars,2019,13,7,6,0,1,2,0.538,35,30,5
7,Columbus Blue Jackets,2019,10,6,4,0,1,1,0.6,30,25,5
8,New York Islanders,2019,8,4,4,0,1,1,0.5,19,19,0
9,Vegas Golden Knights,2019,7,3,4,0,0,2,0.429,25,23,2
10,Toronto Maple Leafs,2019,7,3,4,0,0,0,0.429,17,23,-6
11,Washington Capitals,2019,7,3,4,0,1,1,0.429,20,21,-1
12,Nashville Predators,2019,6,2,4,0,1,1,0.333,12,18,-6
13,Winnipeg Jets,2019,6,2,4,0,1,0,0.333,16,16,0
14,Calgary Flames,2019,5,1,4,0,0,2,0.2,11,17,-6
15,Pittsburgh Penguins,2019,4,0,4,0,0,1,0,6,14,-8
16,Tampa Bay Lightning,2019,4,0,4,0,0,0,0,8,19,-11
1,Washington Capitals,2018,24,16,8,0,3,2,0.667,86,61,25
2,Vegas Golden Knights,2018,20,13,7,0,2,1,0.65,57,47,10
3,Tampa Bay Lightning,2018,17,11,6,0,1,0,0.647,50,48,2
4,Winnipeg Jets,2018,17,9,8,0,0,1,0.529,53,42,11
5,Nashville Predators,2018,13,7,6,0,1,0,0.538,41,42,-1
6,San Jose Sharks,2018,10,6,4,0,1,1,0.6,30,26,4
7,Pittsburgh Penguins,2018,12,6,6,0,0,1,0.5,42,34,8
8,Boston Bruins,2018,12,5,7,0,0,1,0.417,41,37,4
9,Toronto Maple Leafs,2018,7,3,4,0,0,0,0.429,20,28,-8
10,Philadelphia Flyers,2018,6,2,4,0,0,0,0.333,15,28,-13
11,Colorado Avalanche,2018,6,2,4,0,0,0,0.333,15,22,-7
12,Columbus Blue Jackets,2018,6,2,4,0,2,2,0.333,18,24,-6
13,Minnesota Wild,2018,5,1,4,0,0,0,0.2,9,16,-7
14,New Jersey Devils,2018,5,1,4,0,0,0,0.2,12,18,-6
15,Los Angeles Kings,2018,4,0,4,0,0,1,0,3,7,-4
16,Anaheim Ducks,2018,4,0,4,0,0,0,0,4,16,-12
1,Pittsburgh Penguins,2017,25,16,9,0,2,2,0.64,77,57,20
2,Nashville Predators,2017,22,14,8,0,2,1,0.636,60,48,12
3,Ottawa Senators,2017,19,11,8,0,6,2,0.579,47,50,-3
4,Anaheim Ducks,2017,17,10,7,0,4,1,0.588,50,52,-2
5,Edmonton Oilers,2017,13,7,6,0,1,3,0.538,36,35,1
6,Washington Capitals,2017,13,7,6,0,4,2,0.538,36,36,0
7,St. Louis Blues,2017,11,6,5,0,2,0,0.545,22,23,-1
